"Episode Name","Date Posted","Video Link","Description"
"Mai Am Gia Dinh Viet - Episode 168","January 9, 2026","https://youtu.be/Y9S1IstiNXc","Episode 168 - Vietnamese Family Home with the guidance of MC Vu Manh Cuong, Actor, Singer Bach Cong Khanh - Runner-up Phuong Anh together overcame challenges to help 3 situations: Nguyen Van Bin, Tran Minh Khoi and Pham Trung Quy, bringing home many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 167","January 2, 2026","https://youtu.be/cDzgtwULGg8","Episode 167 - Vietnamese family home with the guidance of MC Duong Hong Phuc, Miss Ngoc Han - Artistic athlete Do Kim Phuc together overcame challenges to help 3 situations: Nguyen Quang Minh, Phan Ha Phuong and Dang Hong Ngoc, bringing back many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 165","December 19, 2025","https://youtu.be/MP0WV6JVrsw","Episode 165 - Vietnamese Family Home with the guidance of MC Huynh Lap, Singer Bui Le Man - Singer Ha Le together overcame challenges to help 3 situations: Nguyen Thanh Nam, Ngo Quang Hiep and Vu Thanh Ngoc, bringing back many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 164","December 12, 2025","https://youtu.be/LvbZv-w8gws","Episode 164 - Vietnamese Family Home with the guidance of MC My Van, Miss Truc Linh - Singer Huy R together overcame challenges to help 3 situations: Nguyen Thi Hien, Ly Thi Hoa and Nguyen Viet Hieu, bringing back many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 163","December 5, 2025","https://youtu.be/ahryiwW0mCU","Episode 163 - Vietnamese Family Home with the guidance of MC Duong Hong Phuc, Actor Quynh Kool and Actor Ha Viet Dung together overcame challenges to help 3 situations: Dang Quynh Anh, Nguyen Minh Tu and Duong Nguyen Chuc Ly, bringing back many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 162","November 28, 2025","https://youtu.be/recE1LqdeSI","Episode 162 - Vietnamese Family Home with the guidance of MC Thanh Trung, Actor Dieu Nhi - Actress Long Vu together overcame challenges to help 3 situations: Le Thi Nhung, Nguyen Anh Tuyet and Nguyen Tri Hao, bringing back many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 161","November 21, 2025","https://youtu.be/BoHwSArMwe8","Episode 161 - Vietnamese Family Home with the guidance of MC Duong Hong Phuc, Singer Ho Phi Nal and runner-up Che Nguyen Quynh Chau together overcame challenges to help 3 disadvantaged children, Quach Son Dat Bao, Truong Minh Tien and Nguyen Lam Nhut Minh, bringing home many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 160","November 14, 2025","https://youtu.be/g83SzgBtz2Q","Episode 160 - The warm Vietnamese family with the guidance of MC Huynh Lap, Singer Trang Phap, Singer Lam Hung together overcame challenges to help 3 people in need: Phan Tran Ngoc Tran, Do Huynh Thuy Dao and Truong Ho Kim Han, bringing home many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 159","November 7, 2025","https://youtu.be/bYfaDJscLeU","Episode 159 - Vietnamese family warm home with the guidance of MC Dai Nghia, Singer couple Dang Khoi - Thuy Anh, Actor Le Ha Anh together overcame challenges to help 3 situations: Nguyen Van Tinh, Bach Nguyen Bich Tran and Nguyen Quoc Thai bringing back many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 158","October 31, 2025","https://youtu.be/dxqdnFejj_Q","Episode 158 - Vietnamese Family Home with the guidance of MC Duong Hong Phuc, Singer Quach Tuan Du - Singer Phuong Trinh Jolie together overcame challenges to help 3 situations: Pham Diem Quynh, Pham Le Man Thi and Truong Thi Tuyet Mai, bringing back many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 157","October 24, 2025","https://youtu.be/mG6KF2AwCAg","Episode 157 - Vietnamese Family Home with the guidance of MC Thanh Thao, Actress Thai Vu, Content Creator MisThy together overcame challenges to help 3 people in need: Nguyen Thi My Chau, Nguyen Cong Hau and Vo Thi Nhu Quynh, bringing home many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 156","October 17, 2025","https://youtu.be/_-ruqcmSezs","Episode 156 - The warm Vietnamese family with the guidance of MC Dai Nghia, Singer/Rapper Wean and Miss Phuong Linh together overcame challenges to help 3 disadvantaged children, Le Ngoc Xuan Mai, Ho Thi Nhat Men and Vo Quoc Hung, bringing home many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 155","October 10, 2025","https://youtu.be/HwttEyvb5TI","Episode 155 - Vietnamese Family Home with the guidance of MC Huynh Lap, Rapper Tieu Minh Phung, Meritorious Artist Oc Thanh Van together overcame challenges to help 3 people in need: Nguyen Ngoc Phuong Quyen, Nguyen Tien Huyen Anh and Nguyen Trong Khang, bringing home many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 154","October 3, 2025","https://youtu.be/u3Nf5NWjc5o","Episode 154 - Vietnamese Family Home with the guidance of MC Lam Vy Da - Hua Minh Dat, Singer Dinh Manh Ninh - Actor Bao Han together overcame challenges to help 3 situations: Bui Huy Nam, Luong Chi Yen and Nguyen Doan Bao Han, bringing back many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 153","September 26, 2025","https://youtu.be/_A02goSOl2Y","Episode 153 - Vietnamese Family Home with the guidance of MC Dai Nghia, actor Dong Anh Quynh, singer Quang Ha together overcame challenges to help 3 disadvantaged children, Quach Duc Thien, Ha Bao Ngoc and Nguyen Duy Phuoc, bringing back many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 152","September 19, 2025","https://youtu.be/goNnLc2D940","Episode 152 - Vietnamese family home with the guidance of MC Lam Vy Da, supermodel Hoang Thuy and football player Bui Tien Dung together overcame challenges to help 3 situations: Luong Thi Le Na, Vi Thi Vien and Ho Thi Thuy, bringing back many valuable rewards to help cover their lives."
"Mai Am Gia Dinh Viet - Episode 151","September 12, 2025","https://youtu.be/kab_hH3xG5o","Episode 151 - Vietnamese Family Home with the guidance of MC Thanh Thao, singer Ha Myo and actor B Tran together overcame challenges to help 3 people in need: Nguyen Huu Bao, Le Bao Chau and Thai Quynh Chi, bringing back many valuable rewards to help cover their lives."
